build_id,image_name,implementation,width,height,bit_depth,is_grayscale,histogram_us,scan_us,norm_scale_us,h2d_us,h2d_bytes,d2h_us,d2h_bytes
1776697858,color_gradient_16bit.png,optimized.cl,512,512,16,false,456,2242,4,126,1572864,121,1572864
1776697858,building_16b.png,naive.cl,720,680,16,false,36,2241,13487,238,2937600,355,2937600
1776697858,building_16b.png,optimized.cl,720,680,16,false,828,2241,4,237,2937600,390,2937600
1776697858,paint_16b.png,naive.cl,500,375,16,false,12,2241,12809,94,1125000,88,1125000
1776697858,paint_16b.png,optimized.cl,500,375,16,false,406,2241,4,93,1125000,88,1125000
1776697858,cars_16b.png,naive.cl,370,415,16,false,10,2241,13036,76,921300,70,921300
1776697858,cars_16b.png,optimized.cl,370,415,16,false,314,2241,3,76,921300,70,921300
1776697858,lamp_16b.png,naive.cl,450,500,16,false,57,2241,13577,109,1350000,105,1350000
1776697858,lamp_16b.png,optimized.cl,450,500,16,false,476,2241,4,111,1350000,105,1350000
1776697858,land_16b.png,naive.cl,1039,789,16,false,59,2241,13597,430,4918626,707,4918626
1776697858,land_16b.png,optimized.cl,1039,789,16,false,1336,2241,4,409,4918626,500,4918626
1776697858,robot_16b.png,naive.cl,450,450,16,false,27,2240,13368,102,1215000,94,1215000
1776697858,robot_16b.png,optimized.cl,450,450,16,false,391,2241,4,100,1215000,94,1215000
1776697860,test_16b.png,naive.cl,1024,683,16,true,40,2242,10251,117,1398784,108,1398784
1776697860,test_16b.png,optimized.cl,1024,683,16,true,1229,2241,4,116,1398784,108,1398784
1776697860,moon_16bit.png,naive.cl,560,420,16,false,21,2245,13343,115,1411200,109,1411200
1776697860,moon_16bit.png,optimized.cl,560,420,16,false,464,2241,4,117,1411200,110,1411200
1776697860,wires_16b.png,naive.cl,326,326,16,false,19,2248,13365,54,637656,49,637656
1776697860,wires_16b.png,optimized.cl,326,326,16,false,264,2241,4,53,637656,49,637656
1776697860,color_gradient_16bit.png,naive.cl,512,512,16,false,20,2241,12368,130,1572864,122,1572864
1776697860,color_gradient_16bit.png,optimized.cl,512,512,16,false,458,2242,4,126,1572864,122,1572864
1776697860,building_16b.png,naive.cl,720,680,16,false,36,2241,13488,239,2937600,530,2937600
1776697860,building_16b.png,optimized.cl,720,680,16,false,825,2241,4,239,2937600,529,2937600
1776697860,paint_16b.png,naive.cl,500,375,16,false,12,2241,12810,94,1125000,88,1125000
1776697860,paint_16b.png,optimized.cl,500,375,16,false,400,2242,4,93,1125000,88,1125000
1776697860,cars_16b.png,naive.cl,370,415,16,false,10,2240,13035,78,921300,70,921300
1776697860,cars_16b.png,optimized.cl,370,415,16,false,313,2241,4,77,921300,70,921300
1776697860,lamp_16b.png,naive.cl,450,500,16,false,60,2242,13579,111,1350000,105,1350000
1776697860,lamp_16b.png,optimized.cl,450,500,16,false,466,2241,4,110,1350000,105,1350000
1776697860,land_16b.png,naive.cl,1039,789,16,false,58,2241,13597,406,4918626,865,4918626
1776697860,land_16b.png,optimized.cl,1039,789,16,false,1341,2242,4,407,4918626,710,4918626
1776697860,robot_16b.png,naive.cl,450,450,16,false,27,2241,13369,102,1215000,95,1215000
1776697860,robot_16b.png,optimized.cl,450,450,16,false,394,2241,8,97,1215000,95,1215000
1776697861,test_16b.png,naive.cl,1024,683,16,true,40,2240,10251,114,1398784,109,1398784
1776697861,test_16b.png,optimized.cl,1024,683,16,true,1214,2240,5,117,1398784,108,1398784
